Equipment Description,Daily Rate (Inc GST) 0-7 Days,Weekly Rate (Inc GST) 8-28 Days,Weekly Rate (Inc GST) 28+ Days
Diesel 2.5t Forklift , $ 44.00 , $ 245.00 , $ 140.00 
Diesel 3t Forklift , $ 55.00 , $ 336.00 , $ 210.00 
Diesel 4t Forklift , $ 30.00 , $ 140.00 , $ 105.00 
Diesel 5t Forklift , $ 35.00 , $ 175.00 , $ 126.00 
Diesel 7t Forklift , $ 35.00 , $ 175.00 , $ 126.00 
LPG  2.5t Forklift , $ 45.00 , $ 245.00 , $ 196.00 
LPG  3t Forklift , $ 60.00 , $ 336.00 , $ 245.00 
LPG 4t Forklift , $ 100.00 , $ 616.00 , $ 490.00 
LPG 5t Forklift , $ 140.00 , $ 700.00 , $ 560.00 
LPG 7t Forklift , $ 220.00 ," $ 1,260.00 ", $ 980.00 
Diesel 16t Forklift , $ 280.00 ," $ 1,680.00 "," $ 1,260.00 "
Diesel 32t Forklift , $ 450.00 ," $ 2,450.00 "," $ 1,750.00 "
EXCAVATOR MINI - 1.8T WITH TRAILER, $ 275.00 ," $ 1,540.00 "," $ 1,225.00 "
EXCAVATOR - 3.5T, $ 280.00 ," $ 1,610.00 "," $ 1,260.00 "
EXCAVATOR - 5.5T ZERO SWING, $ 330.00 ," $ 1,960.00 "," $ 1,400.00 "
EXCAVATOR - 8T, $ 570.00 ," $ 2,800.00 "," $ 2,100.00 "
EXCAVATOR - POST HOLE ATTACHMENT, $ 44.00 , $ 210.00 , $ 140.00 
EXCAVATOR - AUGER 300MM, $ 10.00 , $ 50.00 , $ 35.00 
EXCAVATOR - AUGER 600MM, $ 10.00 , $ 50.00 , $ 35.00 
EXCAVATOR - BREAKER ATTACHMENT (SUIT 1.8T), $ 88.00 , $ 350.00 , $ 250.00 
EXCAVATOR - BREAKER ATTACHMENT (SUIT 5.5T), $ 110.00 , $ 450.00 , $ 300.00 
ROLLER SMOOTH - 2.5T DOUBLE DRUM, $ 240.00 ," $ 1,260.00 "," $ 1,085.00 "
DEMOLITION SAW 350MM(14IN) PACKAGE, $ 274.00 ," $ 1,145.00 ", $ 600.00 
DEMOLITION SAW 400MM(16IN) PACKAGE, $ 305.00 ," $ 1,200.00 ", $ 700.00 
CONCRETE SAW 350MM(14IN) PACKAGE, $ 274.00 ," $ 1,145.00 ", $ 600.00 
CONCRETE SAW 400MM (16IN) PACKAGE, $ 305.00 ," $ 1,200.00 ", $ 700.00 
PLATE COMPACTOR - 60KG, $ 66.00 , $ 315.00 , $ 245.00 
PLATE COMPACTOR - 85KG, $ 88.00 , $ 490.00 , $ 385.00 
PLATE COMPACTOR - REVERSIBLE 300KG, $ 165.00 , $ 770.00 , $ 560.00 
PLATE COMPACTOR - REVERSIBLE 500KG, $ 210.00 ," $ 1,000.00 ", $ 840.00 
PLATE COMPACTOR - REVERSIBLE 700KG, $ 305.00 ," $ 1,469.00 "," $ 1,000.00 "
RAMMER UPRIGHT - DIESEL, $ 88.00 , $ 476.00 , $ 308.00 
RAMMER UPRIGHT - PETROL, $ 88.00 , $ 476.00 , $ 308.00 
PLATE COMPACTOR - REMOTE CONTROL 600KG, $ 210.00 ," $ 1,000.00 ", $ 840.00 
PLATE COMPACTOR - REMOTE CONTROL 1200KG, $ 350.00 ," $ 1,030.00 ", $ 870.00 
ROLLER TRENCH - ARTICULATED PADFOOT, $ 210.00 ," $ 1,190.00 ", $ 840.00 
HAMMER DEMOLITION - LIGHT, $ 104.00 , $ 415.00 , $ 300.00 
HAMMER DEMOLITION - MEDIUM, $ 120.00 , $ 590.00 , $ 350.00 
HAMMER DEMOLITION - HEAVY, $ 149.00 , $ 600.00 , $ 450.00 
CONCRETE GRINDER - EDGER 250MM DIAMOND HEAVY DUTY, $ 362.00 ," $ 1,322.00 "," $ 1,000.00 "
SPRAYER AIRLESS LARGE, $ 203.00 , $ 953.00 , $ 600.00 
FLOOR STRIPPER, $ 121.00 , $ 560.00 , $ 350.00 
DRILL - CORE TO 125MM, $ 142.00 , $ 666.00 , $ 420.00 
DRILL - STAND TO 100MM, $ 25.00 , $ 75.00 , $ 50.00 
DRILL - STAND VACUUM PUMP, $ 25.00 , $ 75.00 , $ 50.00 
CORE BIT - 16MM TO 40MM, $ 29.00 , $ 75.00 , $ 50.00 
CORE BIT - 41MM TO 60MM, $ 49.00 , $ 140.00 , $ 95.00 
CORE BIT - 61MM TO 90MM, $ 88.00 , $ 280.00 , $ 175.00 
CORE BIT - 91MM TO 125MM, $ 109.00 , $ 420.00 , $ 210.00 
TRAILER - BOX 2.4M X 1.5M, $ 57.00 , $ 277.00 , $ 196.00 
TRAILER - CAGE SMALL, $ 57.00 , $ 277.00 , $ 196.00 
TRAILER - CAGE LARGE, $ 57.00 , $ 277.00 , $ 196.00 
TIPPER 2T WIDE BODY, $ 216.00 ," $ 1,050.00 ", $ 630.00 
TABLETOP TRUCK 4T, $ 216.00 ," $ 1,050.00 ", $ 630.00 
TABLETOP TRUCK 6T-8T, $ 310.00 ," $ 1,400.00 ", $ 700.00 
TELEHANDLER - 3T 9M, $ 350.00 ," $ 1,400.00 ", $ 700.00 
FENCE PANEL (2.4M X 1.8M MESH), $ 2.20 , $ 2.20 , $ 2.20 
PUMP CENTRIFUGAL 50MM (2IN), $ 90.00 , $ 450.00 , $ 315.00 
FLEXI DRIVE MOTOR - PETROL, $ 50.00 , $ 210.00 , $ 150.00 
PUMP - FLEXI DRIVE SHAFT 63MM, $ 50.00 , $ 210.00 , $ 150.00 
CONCRETE VIBRATOR FLEXI SHAFT 38MM, $ 25.00 , $ 100.00 , $ 70.00 
CONCRETE VIBRATOR FLEXI SHAFT 57MM, $ 25.00 , $ 100.00 , $ 70.00 
CONCRETE VIBRATOR UNIT - 44MM, $ 70.00 , $ 350.00 , $ 210.00 
CONCRETE MIXER (2CUFT) ELECTRIC, $ 48.00 , $ 210.00 , $ 140.00 
CONCRETE MIXER (3CUFT) PETROL, $ 53.00 , $ 245.00 , $ 175.00 
PRESSURE WASHER - 3600PSI DIESEL TRAILER, $ 150.00 , $ 840.00 , $ 693.00 
PRESSURE CLEANER - 4000PSI PETROL TRAILER, $ 150.00 , $ 840.00 , $ 693.00 
PRESSURE WASHER - 4000PSI PETROL, $ 120.00 , $ 560.00 , $ 455.00 
PRESSURE WASHER - 2000PSI DIESEL, $ 100.00 , $ 490.00 , $ 420.00 
PRESSURE WASHER - 2000PSI ELECTRIC, $ 80.00 , $ 420.00 , $ 280.00 
SCISSORLIFT 5.8M (19FT) ELECTRIC, $ 85.00 , $ 455.00 , $ 275.00 
SCISSORLIFT 5.8M (19FT) ELECTRIC PACKAGE (TRAILER), $ 123.00 , $ 600.00 , $ 450.00 
SCISSORLIFT 7.7M (26FT) DIESEL, $ 250.00 , $ 900.00 , $ 700.00 
SCISSORLIFT 9.7M (32FT) ELECTRIC, $ 350.00 ," $ 1,050.00 ", $ 800.00 
BOOMLIFT 10.2M (34FT) DIESEL 4WD, $ 250.00 , $ 900.00 , $ 700.00 
MOBILE HYDRAULIC PLATFORM 12M, $ 250.00 , $ 900.00 , $ 700.00 
LIGHT VEHICLE TRANSPORT, $99.00 / HOUR,,
TILT TRAY TRANSPORT, $154.00 / HOUR,,
